Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
CLS,Dammam,Mercedes,Automatic,Saudi,Semi Full,2019,3.5,76000,0
F150,Riyadh,Ford,Automatic,Saudi,Semi Full,2017,5.0,108000,0
H1,Jeddah,Hyundai,Automatic,Saudi,Standard,2018,2.4,34000,0
Charger,Dammam,Dodge,Automatic,Saudi,Full,2012,5.7,220000,0
Innova,Jeddah,Toyota,Automatic,Saudi,Full,2017,2.7,58000,0
Edge,Riyadh,Ford,Automatic,Gulf Arabic,Full,2013,3.7,341000,0
Innova,Makkah,Toyota,Automatic,Saudi,Full,2017,2.7,180000,0
Copper,Riyadh,MINI,Automatic,Saudi,Full,2018,2.0,27000,0
Cherokee,Jeddah,Jeep,Manual,Saudi,Full,1999,6.0,366798,0
Furniture,Riyadh,Toyota,Automatic,Saudi,Full,2018,4.0,109000,0
Camry,Riyadh,Toyota,Automatic,Saudi,Standard,2014,2.5,234000,0
Datsun,Qassim,Nissan,Manual,Saudi,Standard,1987,2.4,80000,0
Yukon,Riyadh,GMC,Automatic,Saudi,Standard,2014,8.0,135000,0
Land Cruiser,Taef,Toyota,Automatic,Saudi,Full,2018,4.6,92000,0
Carnival,Riyadh,Kia,Automatic,Saudi,Semi Full,2011,3.3,232000,0
Camry,Aseer,Toyota,Manual,Saudi,Semi Full,2010,1.6,300,0
Pathfinder,Al-Medina,Nissan,Automatic,Saudi,Semi Full,2016,3.5,155000,0
FJ,Riyadh,Toyota,Automatic,Saudi,Full,2008,3.5,375000,0
6,Riyadh,Mazda,Automatic,Saudi,Standard,2017,4.0,243,0
Prado,Al-Medina,Toyota,Automatic,Saudi,Full,2010,4.0,260000,0
LX,Hafar Al-Batin,Lexus,Automatic,Saudi,Full,2015,5.7,104,0
Patrol,Riyadh,Nissan,Automatic,Gulf Arabic,Full,2020,4.0,40000,0
Accord,Jeddah,Honda,Automatic,Saudi,Semi Full,2015,2.5,620,0
Victoria,Tabouk,Ford,Automatic,Saudi,Semi Full,2006,4.6,365000,0
Senta fe,Al-Medina,Hyundai,Automatic,Saudi,Full,2016,3.3,125000,0
Optima,Al-Ahsa,Kia,Automatic,Saudi,Semi Full,2013,4.0,146980,0
Yukon,Jeddah,GMC,Automatic,Saudi,Full,2008,6.2,300,0
Furniture,Riyadh,Toyota,Automatic,Unknown,Semi Full,2016,2.7,201000,0
Hilux,Aseer,Toyota,Manual,Saudi,Full,2012,2.7,395000,0
IS,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2016,3.5,100000,0
Other,Riyadh,Other,Manual,Saudi,Standard,2006,6.5,81250,0
Tucson,Riyadh,Hyundai,Automatic,Gulf Arabic,Semi Full,2014,2.0,126000,0
Malibu,Aseer,Chevrolet,Automatic,Saudi,Standard,2021,1.5,10800,0
Cerato,Jubail,Kia,Automatic,Gulf Arabic,Semi Full,2019,1.6,105280,0
Camry,Riyadh,Toyota,Automatic,Gulf Arabic,Standard,2017,2.5,82000,0
Traverse,Al-Medina,Chevrolet,Automatic,Saudi,Semi Full,2012,3.1,132,0
Furniture,Al-Medina,Toyota,Automatic,Saudi,Semi Full,2013,2.7,32000,0
VTC,Qassim,Nissan,Automatic,Gulf Arabic,Semi Full,2002,4.8,650000,0
S,Dammam,Mercedes,Automatic,Saudi,Full,2006,6.3,133641,0
Camry,Jeddah,Toyota,Automatic,Other,Semi Full,2002,2.4,375050,0
Marquis,Al-Ahsa,Ford,Automatic,Other,Full,2008,4.6,50000,0
Tucson,Al-Ahsa,Hyundai,Automatic,Saudi,Semi Full,2019,2.0,77000,0
Hilux,Riyadh,Toyota,Manual,Saudi,Full,2020,2.7,89000,0
Sonata,Al-Medina,Hyundai,Automatic,Saudi,Semi Full,2014,1.6,1500000,0
Corolla,Riyadh,Toyota,Automatic,Saudi,Semi Full,2020,1.6,19000,0
Pajero,Riyadh,Mitsubishi,Automatic,Gulf Arabic,Full,2016,3.8,178000,0
Durango,Riyadh,Dodge,Automatic,Saudi,Full,2017,5.7,80000,0
